,Titles,Year,IMDB Ratings,Votes
496,Andhadhun,2018,8.3,62881
497,Per qualche dollaro in più,1965,8.3,223319
498,Pride,2014,7.8,49972
499,The Boondock Saints,1999,7.8,223762
500,Fa yeung nin wah,2000,8.1,117450
501,127 Hours,2010,7.6,340173
502,A Bronx Tale,1993,7.8,123936
503,Gone Baby Gone,2007,7.6,244016
504,The Illusionist,2006,7.6,349010
505,La montaña sagrada,1973,7.9,34917
506,Carlito's Way,1993,7.9,194916
507,Adaptation.,2002,7.7,172691
508,Metropolis,1927,8.3,154667
509,Klaus,2019,8.2,71483
510,A Streetcar Named Desire,1951,8.0,96433
511,Enter the Dragon,1973,7.7,93573
512,The Bridge on the River Kwai,1957,8.1,197104
513,Batoru rowaiaru,2000,7.6,165406
514,The Nightmare Before Christmas,1993,8.0,283536
515,Män som hatar kvinnor,2009,7.8,205181
516,Tenkû no shiro Rapyuta,1986,8.0,143368
517,Life of Brian,1979,8.1,356364
518,Before Sunset,2004,8.0,225925
519,Per un pugno di dollari,1964,8.0,190153
520,Yip Man,2008,8.0,206442
521,Billy Elliot,2000,7.7,122865
522,Det sjunde inseglet,1957,8.2,157213
523,Lethal Weapon,1987,7.6,230781
524,In the Name of the Father,1993,8.1,151212
525,JFK,1991,8.0,137332
526,"Paris, Texas",1984,8.1,84732
527,Annie Hall,1977,8.0,246822
528,Midnight Cowboy,1969,7.8,97721
529,The Conversation,1974,7.8,94523
530,Before Midnight,2013,7.9,134645
531,My Fair Lady,1964,7.8,84154
532,Ben-Hur,1959,8.1,213316
533,The Lego Movie,2014,7.7,317722
534,Seppuku,1962,8.7,35421
535,Seven Pounds,2008,7.6,280888
536,In the Heat of the Night,1967,7.9,65112
537,Double Indemnity,1944,8.3,138086
538,Network,1976,8.1,140528
539,The French Connection,1971,7.7,106320
540,Dawn of the Planet of the Apes,2014,7.6,404756
541,Kramer vs. Kramer,1979,7.8,127897
542,Charade,1963,7.9,65376
543,Ran,1985,8.2,107364
544,Solaris,1972,8.1,77101
545,The Artist,2011,7.9,226032
546,PK,2014,8.1,154547
547,Hachi: A Dog's Tale,2009,8.1,243191
548,Amores perros,2000,8.1,217736
549,Jodaeiye Nader az Simin,2011,8.3,212175
550,Rise of the Planet of the Apes,2011,7.6,488562
551,The Fall,2006,7.9,105301
552,The Wrestler,2008,7.9,285135
553,Star Trek II: The Wrath of Khan,1982,7.7,109990
554,Dangerous Liaisons,1988,7.6,62749
555,The Ten Commandments,1956,7.8,61923
556,La haine,1995,8.1,142544
557,Paths of Glory,1957,8.4,170541
558,Blood Simple,1984,7.6,84577
559,The Bridges of Madison County,1995,7.6,70422
560,Doctor Zhivago,1965,8.0,67760
561,The Man from Earth,2007,7.9,169301
562,Enemy at the Gates,2001,7.6,236511
563,On the Waterfront,1954,8.1,137147
564,25th Hour,2002,7.6,167096
565,Låt den rätte komma in,2008,7.9,201668
566,Robin Hood,1973,7.6,111778
567,El cuerpo,2012,7.6,53328
568,Dirty Harry,1971,7.7,139456
569,Bonnie and Clyde,1967,7.8,99481
570,Taare Zameen Par,2007,8.4,159039
571,Kôkaku Kidôtai,1995,8.0,124267
572,Der Name der Rose,1986,7.7,98760
573,Wo hu cang long,2000,7.8,248360
574,Snow White and the Seven Dwarfs,1937,7.6,175799
575,Pâfekuto burû,1997,8.0,52458
576,How to Train Your Dragon 2,2014,7.8,296362
577,Rebecca,1940,8.1,118125
578,The Insider,1999,7.8,156097
579,The Searchers,1956,7.9,77685
580,Serbuan maut 2: Berandal,2014,8.0,111174
581,Philomena,2013,7.6,92281
582,Days of Heaven,1978,7.8,50307
583,La migliore offerta,2013,7.8,104208
584,Kaze tachinu,2013,7.8,68762
585,Roman Holiday,1953,8.0,123674
586,I Am Sam,2001,7.7,140510
587,The Outlaw Josey Wales,1976,7.8,63569
588,The Iron Giant,1999,8.0,166945
589,Madeo,2009,7.8,47661
590,Awakenings,1990,7.8,119493
591,Ordinary People,1980,7.7,45211
592,Flipped,2010,7.7,79047
593,Papillon,1973,8.0,118481
594,Witness for the Prosecution,1957,8.4,102844
595,Midnight Express,1978,7.6,71005
596,50/50,2011,7.6,310554
597,Cabaret,1972,7.8,46767
598,Kari-gurashi no Arietti,2010,7.6,76230
599,Short Term 12,2013,8.0,78697
600,Naked,1993,7.8,32875
601,Persona,1966,8.1,97280
602,Rushmore,1998,7.7,164654
603,Cinderella Man,2005,8.0,172643
604,October Sky,1999,7.8,79374
605,Rope,1948,8.0,124454
606,Evil Dead II,1987,7.8,143669
607,Ed Wood,1994,7.8,162296
608,"Synecdoche, New York",2008,7.6,78562
609,Night of the Living Dead,1968,7.9,112209
610,The Man Who Shot Liberty Valance,1962,8.1,66643
611,The King of Comedy,1982,7.8,82694
612,Sabrina,1954,7.7,57142
613,East of Eden,1955,7.9,39015
614,The Wild Bunch,1969,7.9,75560
615,Mimi wo sumaseba,1995,7.9,47473
616,Leviafan,2014,7.6,47434
617,The Magdalene Sisters,2002,7.7,25479
618,Dawn of the Dead,1978,7.9,108493
619,Mysterious Skin,2004,7.6,64589
620,Mary and Max,2009,8.1,159842
621,Zimna wojna,2018,7.6,44736
622,Beasts of No Nation,2015,7.7,70723
623,All That Jazz,1979,7.9,26821
624,Arsenic and Old Lace,1944,8.0,63784
625,Me and Earl and the Dying Girl,2015,7.7,119635
626,La dolce vita,1960,8.0,63839
627,Hotel Rwanda,2004,8.1,327299
628,Hedwig and the Angry Inch,2001,7.7,31247
629,The Great Dictator,1940,8.4,195285
630,The Last Emperor,1987,7.7,90974
631,Barton Fink,1991,7.7,109970
632,Le mépris,1963,7.6,27494
633,Mommy,2014,8.1,47983
634,The Message,1976,8.2,42536
635,Miller's Crossing,1990,7.7,123075
636,Gully Boy,2019,8.1,28113
637,Anatomy of a Murder,1959,8.0,57806
638,Kelly's Heroes,1970,7.6,43978
639,The Longest Day,1962,7.8,51152
640,Clerks,1994,7.7,208395
641,Harold and Maude,1971,7.9,68847
642,Paddington 2,2017,7.8,57008
643,Kurenai no buta,1992,7.7,72596
644,Bãhubali: The Beginning,2015,8.1,99105
645,Zwartboek,2006,7.7,71158
646,21 Grams,2003,7.7,220307
647,My Left Foot: The Story of Christy Brown,1989,7.9,65554
648,After Hours,1985,7.7,55793
649,Sling Blade,1996,8.0,85297
650,Modern Times,1936,8.5,208798
651,8½,1963,8.0,105450
652,What Ever Happened to Baby Jane?,1962,8.1,48333
653,From Here to Eternity,1953,7.6,41972
654,The Last King of Scotland,2006,7.7,171938
655,The Night of the Hunter,1955,8.0,79500
656,Dancer in the Dark,2000,8.0,99324
657,Cape Fear,1962,7.7,25428
658,Giant,1956,7.6,32975
659,Badlands,1973,7.8,63226
660,The Right Stuff,1983,7.8,54604
661,Trois couleurs: Bleu,1993,7.9,85318
662,Nosferatu,1922,7.9,85941
663,Freaks,1932,7.9,40804
664,Stagecoach,1939,7.9,41659
665,This Is England,2006,7.7,113700
666,Chung Hing sam lam,1994,8.1,59050
667,Paper Moon,1973,8.1,40828
668,A Little Princess,1995,7.7,31197
669,All About Eve,1950,8.2,116593
670,Rashômon,1950,8.2,146408
671,Ajeossi,2010,7.8,60164
672,La grande bellezza,2013,7.8,78003
673,Fanny och Alexander,1982,8.1,55636
674,Der Himmel über Berlin,1987,8.0,62268
675,The Third Man,1949,8.1,154027
676,Lucky Number Slevin,2006,7.7,295788
677,The Treasure of the Sierra Madre,1948,8.2,110382
678,Finding Neverland,2004,7.7,195578
679,Detachment,2011,7.7,74107
680,Dial M for Murder,1954,8.2,151554
681,Ying xiong,2002,7.9,171280
682,Manhattan,1979,7.9,128231
683,Loving Vincent,2017,7.8,47368
684,High Noon,1952,7.9,94953
685,The Adventures of Robin Hood,1938,7.9,45920
686,Zindagi Na Milegi Dobara,2011,8.1,64553
687,Kis Uykusu,2014,8.1,43329
688,Letters from Iwo Jima,2006,7.9,151359
689,Where Eagles Dare,1968,7.7,50264
690,"Planes, Trains & Automobiles",1987,7.6,118226
691,Happiness,1998,7.7,65021
692,Baahubali 2: The Conclusion,2017,8.2,71502
693,Being There,1979,8.0,63694
694,King Kong,1933,7.9,77010
695,Pink Floyd: The Wall,1982,8.1,74126
696,Rio Bravo,1959,8.0,54212
697,Andrei Rublev,1966,8.1,44045
698,The Muppet Movie,1979,7.6,31551
699,Ladri di biciclette,1948,8.3,139652
700,Withnail & I,1987,7.7,39028
701,Papurika,2006,7.7,67385
702,The Kid,1921,8.3,107532
703,It Happened One Night,1934,8.1,90434
704,Zerkalo,1975,8.1,37440
705,Kaguyahime no monogatari,2013,8.0,35335
706,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,8.1,35277
707,Le locataire,1976,7.7,37902
708,The Straight Story,1999,8.0,79260
709,"South Park: Bigger, Longer & Uncut",1999,7.7,189039
710,Belle de jour,1967,7.7,38711
711,À bout de souffle,1960,7.9,70319
712,Kubo and the Two Strings,2016,7.8,113984
713,Smultronstället,1957,8.2,91599
714,Chugyeogja,2008,7.9,55442
715,Mr. Smith Goes to Washington,1939,8.1,103655
716,The Killing,1956,8.0,78875
717,Amour,2012,7.9,90444
718,Omoide no Mânî,2014,7.7,29551
719,The Philadelphia Story,1940,7.9,61567
720,Jûbê ninpûchô,1993,7.9,33534
721,Drishyam,2015,8.2,64116
722,Zulu,1964,7.7,34873
723,The Manchurian Candidate,1962,7.9,69830
724,K.G.F: Chapter 1,2018,8.2,30459
725,Trois couleurs: Rouge,1994,8.1,86640
726,The Killing Fields,1984,7.8,49998
727,Touch of Evil,1958,8.0,96295
728,Patton,1970,7.9,91868
729,Nebraska,2013,7.7,109951
730,Dead Man,1995,7.6,88088
731,The Taking of Pelham One Two Three,1974,7.7,25439
732,Uri: The Surgical Strike,2019,8.3,40129
733,Ikiru,1952,8.3,64343
734,The Hurricane,1999,7.6,89632
735,Les quatre cents coups,1959,8.1,100623
736,Fantasia,1940,7.8,86157
737,Victoria,2015,7.6,49935
738,Chinjeolhan geumjassi,2005,7.6,69571
739,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,8.0,75012
740,Lola rennt,1998,7.6,185067
741,The Lunchbox,2013,7.8,48076
742,On Golden Pond,1981,7.6,26777
743,Yôjinbô,1961,8.2,106009
744,Strangers on a Train,1951,8.0,120035
745,Tôkyô monogatari,1953,8.2,49460
746,Under sandet,2015,7.8,33089
747,Breaking the Waves,1996,7.8,60665
748,Hamlet,1996,7.7,35364
749,Tengoku to jigoku,1963,8.4,29971
750,Who's Afraid of Virginia Woolf?,1966,8.0,67184
751,Giù la testa,1971,7.6,28798
752,Bacheha-Ye aseman,1997,8.3,61252
753,Notorious,1946,7.9,89633
754,Once,2007,7.8,108579
755,Volver,2006,7.6,92532
756,Lagaan: Once Upon a Time in India,2001,8.1,101287
757,Waking Life,2001,7.8,59539
758,The Secret of NIMH,1982,7.6,35154
759,Queen,2013,8.2,58516
760,Perfetti sconosciuti,2016,7.8,53569
761,The Quiet Man,1952,7.7,33587
762,Bir Zamanlar Anadolu'da,2011,7.9,39344
763,City Lights,1931,8.5,160647
764,The Big Sleep,1946,7.9,77042
765,Short Cuts,1993,7.7,41321
766,The Grapes of Wrath,1940,8.0,84186
767,Le Petit Prince,2015,7.7,54449
768,Todo sobre mi madre,1999,7.8,86295
769,Frankenstein,1931,7.8,62768
770,The Lion in Winter,1968,7.9,28251
771,Watership Down,1978,7.6,32792
772,Stalag 17,1953,8.0,50036
773,The Thin Man,1934,8.0,25541
774,A Christmas Story,1983,7.9,127366
775,Hannah and Her Sisters,1986,7.9,65177
776,The Hustler,1961,8.0,73557
777,The Day of the Jackal,1973,7.8,36215
778,Kal ho naa ho,2003,8.0,61327
779,La Vie En Rose,2007,7.6,80929
780,Il conformista,1970,8.0,25692
781,Boksuneun naui geot,2002,7.6,60416
782,The Verdict,1982,7.7,34528
783,Byôsoku 5 senchimêtoru,2007,7.6,48538
784,Udaan,2010,8.2,41114
785,Red River,1948,7.8,27127
786,Thank You for Smoking,2005,7.6,210603
787,The Invisible Man,1933,7.7,28951
788,Judgment at Nuremberg,1961,8.2,66571
789,Du rififi chez les hommes,1955,8.2,25250
790,Anand,1971,8.6,26888
791,Cat on a Hot Tin Roof,1958,8.0,43440
792,The African Queen,1951,7.7,69689
793,Hable con ella,2002,7.9,102123
794,Les yeux sans visage,1960,7.7,25752
795,Tropa de Elite,2007,8.1,95963
796,Abre los ojos,1997,7.8,62432
797,En man som heter Ove,2015,7.7,44286
798,Underground,1995,8.1,53815
799,Mou gaan dou,2002,8.0,115772
800,Repulsion,1965,7.7,47201
801,"I, Daniel Blake",2016,7.9,50726
802,Diarios de motocicleta,2004,7.8,94853
803,The Red Shoes,1948,8.1,29473
804,Trois couleurs: Blanc,1994,7.6,61031
805,"Swades: We, the People",2004,8.2,79956
806,A Man for All Seasons,1966,7.7,30204
807,Good Bye Lenin!,2003,7.7,134922
808,Kumonosu-jô,1957,8.1,43948
809,Secrets & Lies,1996,8.0,35889
810,"Aguirre, der Zorn Gottes",1972,7.9,50279
811,Key Largo,1948,7.8,36017
812,All Quiet on the Western Front,1930,8.0,55952
813,Bin-jip,2004,8.0,48194
814,The Day the Earth Stood Still,1951,7.7,75021
815,A Hard Day's Night,1964,7.6,39019
816,Kagemusha,1980,8.0,30858
817,Amarcord,1973,7.9,38422
818,Bringing Up Baby,1938,7.9,53439
819,The Best Years of Our Lives,1946,8.0,55913
820,My Name Is Khan,2010,8.0,95817
821,Song of the Sea,2014,8.1,48604
822,Das Cabinet des Dr. Caligari,1920,8.1,54937
823,Le scaphandre et le papillon,2007,8.0,101533
824,His Girl Friday,1940,7.9,51713
825,The Man Who Would Be King,1975,7.8,42822
826,Interstate 60: Episodes of the Road,2002,7.7,29128
827,Nelyubov,2017,7.6,27861
828,Un long dimanche de fiançailles,2004,7.6,69961
829,Delicatessen,1991,7.6,78689
830,Fitzcarraldo,1982,8.1,30034
831,Die Welle,2008,7.6,99990
832,La double vie de Véronique,1991,7.8,39905
833,Sunrise: A Song of Two Humans,1927,8.1,45709
834,Das weiße Band - Eine deutsche Kindergeschichte,2009,7.8,66851
835,Ayla: The Daughter of War,2017,8.5,31729
836,Spoorloos,1988,7.7,32603
837,Eskiya,1996,8.3,61125
838,Rang De Basanti,2006,8.2,107603
839,La leggenda del pianista sull'oceano,1998,8.1,56826
840,Peeping Tom,1960,7.7,29702
841,Un prophète,2009,7.9,91535
842,Kakushi-toride no san-akunin,1958,8.1,32636
843,Bajrangi Bhaijaan,2015,8.0,69017
844,Lilja 4-ever,2002,7.8,41538
845,Dev.D,2009,8.0,27862
846,The Salesman,2016,7.8,47837
847,Shadow of a Doubt,1943,7.8,57432
848,Munna Bhai M.B.B.S.,2003,8.1,70877
849,The Station Agent,2003,7.6,66320
850,Talvar,2015,8.2,29215
851,Pink,2016,8.1,36814
852,Efter brylluppet,2006,7.7,31028
853,Invasion of the Body Snatchers,1956,7.7,43489
854,Crimes and Misdemeanors,1989,7.9,53162
855,Control,2007,7.7,60343
856,Batman: Mask of the Phantasm,1993,7.8,41339
857,The Gold Rush,1925,8.2,96201
858,Bhaag Milkha Bhaag,2013,8.2,58750
859,Kind Hearts and Coronets,1949,8.0,33541
860,Gegen die Wand,2004,7.9,49714
861,Viskningar och rop,1972,8.1,28716
862,Dead Man's Shoes,2004,7.6,48272
863,Night on Earth,1991,7.8,53549
864,The World's Fastest Indian,2005,7.8,50918
865,Le charme discret de la bourgeoisie,1972,7.9,36898
866,Le samouraï,1967,8.1,43246
867,Once Were Warriors,1994,7.9,30706
868,Sleuth,1972,8.0,43809
869,Sweet Smell of Success,1957,8.1,26909
870,Ookami kodomo no Ame to Yuki,2012,8.1,36517
871,Babam ve Oglum,2005,8.3,75287
872,Ivanovo detstvo,1962,8.1,29744
873,Vozvrashchenie,2003,8.0,41003
874,Gilda,1946,7.7,26846
875,The 39 Steps,1935,7.6,49903
876,The Bride of Frankenstein,1935,7.8,41831
877,Out of the Past,1947,8.0,31404
878,La battaglia di Algeri,1966,8.1,50315
879,Badhaai ho,2018,8.0,25509
880,El ángel exterminador,1962,8.1,28380
881,Shine,1996,7.7,50268
882,Festen,1998,8.0,76025
883,The Broken Circle Breakdown,2012,7.8,38387
884,Toki o kakeru shôjo,2006,7.8,57860
885,Hera Pheri,2000,8.2,53782
886,Kahaani,2012,8.1,55673
887,Paan Singh Tomar,2012,8.2,31857
888,Haider,2014,8.1,48801
889,Baby,2015,8.0,51229
890,Sholay,1975,8.2,49720
891,The Lady Vanishes,1938,7.8,45674
892,Le salaire de la peur,1953,8.1,52296
893,"Crna macka, beli macor",1998,8.1,49538
894,The Circus,1928,8.2,25778
895,The Odd Couple,1968,7.7,30607
896,Darbareye Elly,2009,8.0,42902
897,Wait Until Dark,1967,7.8,26898
898,Death Note: Desu nôto,2006,7.7,28031
899,Mar adentro,2004,8.0,75848
900,A Wednesday,2008,8.1,71922
901,Laura,1944,8.0,41237
902,Les choristes,2004,7.9,55787
903,To Be or Not to Be,1942,8.2,26477
904,Cowboy Bebop: Tengoku no tobira,2001,7.9,41611
905,L'avventura,1960,7.9,25297
906,Au revoir les enfants,1987,8.0,30177
907,Dilwale Dulhania Le Jayenge,1995,8.1,61268
908,Persepolis,2007,8.0,86423
909,Da hong deng long gao gao gua,1991,8.1,28312
910,Dil Chahta Hai,2001,8.1,64729
911,La Strada,1954,8.0,56421
912,Pierrot le Fou,1965,7.6,27998
913,Mustang,2015,7.6,34147
914,The Innocents,1961,7.8,25629
915,Le notti di Cabiria,1957,8.1,41475
916,Huo Yuan Jia,2006,7.6,71766
917,To Have and Have Not,1944,7.8,29972
918,Kokuhaku,2010,7.8,34505
919,Les diaboliques,1955,8.0,59901
920,Yeopgijeogin geunyeo,2001,8.0,44371
921,Vivre sa vie: Film en douze tableaux,1962,8.0,26207
922,Jeux d'enfants,2003,7.6,66050
923,Das Experiment,2001,7.7,89670
924,Hævnen,2010,7.6,37799
925,Special Chabbis,2013,8.0,48913
926,The General,1926,8.1,77871
927,Ace in the Hole,1951,8.1,30076
928,Le passé,2013,7.8,43771
929,Lat sau san taam,1992,7.8,45597
930,In America,2002,7.7,39914
931,Barfi!,2012,8.1,73202
932,Harvey,1950,7.9,51643
933,"4 luni, 3 saptamâni si 2 zile",2007,7.9,55089
934,Rupan sansei: Kariosutoro no shiro,1979,7.7,25440
935,Tropa de Elite 2: O Inimigo Agora é Outro,2010,8.0,77806
936,Brief Encounter,1945,8.0,34137
937,Il postino,1994,7.7,32540
938,The Lost Weekend,1945,7.9,32493
939,Celda 211,2009,7.6,62533
940,Down by Law,1986,7.8,46456
941,The Purple Rose of Cairo,1985,7.7,45753
942,Udta Punjab,2016,7.8,25714
943,La passion de Jeanne d'Arc,1928,8.1,45142
944,Jules et Jim,1962,7.8,36205
945,Airlift,2016,8.0,51418
946,Okuribito,2008,8.1,47314
947,Bronenosets Potemkin,1925,8.0,51360
948,Gongdong gyeongbi guyeok JSA,2000,7.8,25304
949,Inherit the Wind,1960,8.1,26363
950,Hana-bi,1997,7.8,26690
951,Miracle on 34th Street,1947,7.9,38874
952,Duck Soup,1933,7.8,54425
953,Ondskan,2003,7.8,34907
954,Vicky Donor,2012,7.8,38300
955,Black,2005,8.2,32608
956,Veer-Zaara,2004,7.8,47449
957,Lifeboat,1944,7.6,25634
958,Tôkyô goddofâzâzu,2003,7.8,29338
959,Chak De! India,2007,8.2,71293
960,Mandariinid,2013,8.2,36976
961,The Ladykillers,1955,7.7,25421
962,No Man's Land,2001,7.9,43730
963,Dip huet seung hung,1989,7.8,44735
964,La Grande Illusion,1937,8.1,32964
965,The Secret of Kells,2009,7.6,30161
966,Taegukgi hwinalrimyeo,2004,8.1,37145
967,Jungfrukällan,1960,8.1,25593
968,Les triplettes de Belleville,2003,7.8,49718
969,White Heat,1949,8.1,28649
970,Sanjuro,1962,8.1,30859
971,G.O.R.A.,2004,8.0,54632
972,Sherlock Jr.,1924,8.2,38835
973,Hiroshima mon amour,1959,7.9,27081
974,Nueve reinas,2000,7.9,48399
975,Adams æbler,2005,7.8,44178
976,Jab We Met,2007,7.9,45788
977,Central do Brasil,1998,8.0,35033
978,Love and Death,1975,7.7,34933
979,La règle du jeu,1939,8.0,25853
980,Zelig,1983,7.7,38921
981,The Visitor,2007,7.6,41015
982,The Shop Around the Corner,1940,8.1,26470
983,Drishyam,2013,8.4,29331
984,OMG: Oh My God!,2012,8.1,48935
985,C.R.A.Z.Y.,2005,7.9,31071
986,Andaz Apna Apna,1994,8.2,47889
987,Boy A,2007,7.6,36316
988,Vampire Hunter D: Bloodlust,2000,7.7,28315
989,Auf der anderen Seite,2007,7.8,30122
990,Knockin' on Heaven's Door,1997,8.0,26770
991,Lage Raho Munna Bhai,2006,8.1,41437
992,The Muppet Christmas Carol,1992,7.7,46144
993,Joyeux Noël,2005,7.7,26991
994,English Vinglish,2012,7.8,32368
995,Le dîner de cons,1998,7.7,36367
996,A Night at the Opera,1935,7.9,29792
997,And Now for Something Completely Different,1971,7.6,28278
998,Vizontele,2001,8.0,31949
999,Nefes: Vatan Sagolsun,2009,8.0,31042
